,x,y,2G,3G,4G,latitude,longitude
18796,1230497.0,6211266.0,1,1,1,42.8047,9.4855
9126,661035.0,6189616.0,1,1,1,42.805,2.5242
6125,618302.0,6190053.0,1,1,0,42.8053,2.0023
10532,702783.0,6189980.0,1,1,1,42.8093,3.034
6907,641053.0,6190566.0,1,1,1,42.8122,2.2801
18758,1227163.0,6211836.0,1,1,1,42.8123,9.4455
3228,478755.0,6194211.0,1,1,1,42.8133,0.2973
10486,701637.0,6190704.0,1,1,1,42.8158,3.02
18717,1217699.0,6211695.0,1,1,1,42.8179,9.3302
3277,481654.0,6194701.0,1,1,1,42.8186,0.3325
6329,625364.0,6191847.0,1,1,0,42.8222,2.0883
3144,473968.0,6196104.0,1,1,1,42.8288,0.2381
10228,692587.0,6192221.0,1,1,1,42.8294,2.9094
9883,681046.0,6192308.0,1,1,1,42.83,2.7684
18711,1216220.0,6213217.0,1,1,1,42.8326,9.3137
10555,703393.0,6193084.0,1,1,1,42.8372,3.0415
9447,667741.0,6193348.0,1,1,1,42.8389,2.6058
3404,488911.0,6197153.0,1,1,0,42.8428,0.4201
7255,645669.0,6193949.0,1,1,0,42.843,2.3361
5619,597343.0,6194599.0,1,1,1,42.8435,1.7455
10167,690898.0,6194977.0,1,1,0,42.8542,2.8888
5397,585229.0,6196078.0,1,1,1,42.855,1.5972
18757,1227094.0,6216876.0,1,1,1,42.8575,9.4497
10548,703301.0,6195395.0,1,1,1,42.858,3.0403
8771,656030.0,6196259.0,1,1,0,42.8644,2.4625
10403,698543.0,6196584.0,1,1,1,42.8687,2.9822
5460,587968.0,6197883.0,1,1,1,42.8716,1.6303
5795,604262.0,6197709.0,1,1,1,42.8724,1.8295
6459,629842.0,6197510.0,1,1,1,42.8736,2.1422
